Domain,Area,Item,Year,Area harvested,Flag,Flag Description,Yield,Production
Crops and livestock products,United States of America,Bananas,2017,380.0,A,Official figure,79474.0,3020.0
Crops and livestock products,United States of America,Bananas,2018,337.0,E,Estimated value,117327.0,3950.0
Crops and livestock products,United States of America,Bananas,2019,337.0,E,Estimated value,102477.0,3452.33
Crops and livestock products,United States of America,Bananas,2020,351.0,E,Estimated value,98925.0,3474.11
Crops and livestock products,United States of America,Bananas,2021,342.0,E,Estimated value,106138.0,3625.48
Crops and livestock products,United States of America,Bananas,2022,343.0,E,Estimated value,102480.0,3517.31
Crops and livestock products,United States of America,Barley,1980,2938000.0,A,Official figure,26762.0,7862600.0
Crops and livestock products,United States of America,Barley,1981,3657500.0,A,Official figure,28187.0,10309300.0
Crops and livestock products,United States of America,Barley,1982,3647400.0,A,Official figure,30797.0,11232900.0
Crops and livestock products,United States of America,Barley,1983,3937900.0,A,Official figure,28101.0,11066000.0
Crops and livestock products,United States of America,Barley,1984,4540000.0,A,Official figure,28678.0,13020000.0
Crops and livestock products,United States of America,Barley,1985,4691000.0,A,Official figure,27393.0,12850000.0
Crops and livestock products,United States of America,Barley,1986,4846000.0,A,Official figure,27340.0,13249000.0
Crops and livestock products,United States of America,Barley,1987,4029500.0,A,Official figure,28178.0,11354300.0
Crops and livestock products,United States of America,Barley,1988,3090000.0,A,Official figure,20434.0,6314000.0
Crops and livestock products,United States of America,Barley,1989,3364000.0,A,Official figure,26159.0,8800000.0
